county_fips	statename	elasticity	total	netwp_h
1001	2	3.5814337730407715	16784	0.00408127065747976
1073	2	2.144763946533203	299947	-0.01905453577637672
1083	2	2.848341941833496	25930	0.0090871537104249
1089	2	2.848341941833496	121143	0.00799873191863298
1097	2	2.0380117893218994	165233	-0.00791810825467109
1101	2	3.5814337730407715	96722	-0.01795936003327369
1103	2	3.851161241531372	49944	-0.02255581133067608
1115	2	2.144763946533203	24980	-0.02976340427994728
1117	2	2.144763946533203	56348	-0.02232035435736179
4005	4	3.115415334701538	51823	-0.17424312233924866
4013	4	1.6135566234588623	1246794	-0.24470306932926175
4019	4	1.4191339015960691	368631	-0.10885248333215714
4027	4	2.582291841506958	74104	-0.14647680521011353
5007	3	2.064203977584839	62701	-0.03944377228617668
5033	3	3.3567378520965576	21761	0.01382302027195692
5035	3	1.7646465301513672	19750	-0.02210414223372936
5045	3	2.7923145294189453	33645	0.01447026617825031
5069	3	12.148008346557615	34659	-0.00390134332701563
5085	3	2.7923145294189453	21857	0.00129954412113875
5091	3	3.815215587615967	17720	-0.02992130629718303
5119	3	2.7923145294189453	159717	-0.00174048007465899
5125	3	2.7923145294189453	33118	0.00208780099637806
5131	3	3.3567378520965576	48198	-0.0050086360424757
5143	3	2.064203977584839	66447	-0.04772141948342323
6001	5	0.7042071223258972	542320	-0.22845633327960968
6007	5	1.7394890785217283	85721	-0.15444216132164
6013	5	0.7042071223258972	352464	-0.32740432024002075
6019	5	1.8360768556594849	272293	-0.2576950788497925
6029	5	1.6380138397216797	232526	-0.3486347198486328
6037	5	0.6265944242477417	3267393	-0.21077820658683777
6041	5	0.661586344242096	104708	-0.0809657871723175
6047	5	2.386730670928955	68306	-0.4672888219356537
6053	5	1.100335955619812	128980	-0.36537662148475647
6065	5	0.9431942105293274	584922	-0.41972965002059937
6069	5	0.7603265643119812	15980	-0.7225459218025208
6071	5	0.9431942105293274	600583	-0.5540500283241272
6073	5	0.6727622747421265	1040136	-0.1823610961437225
6075	5	0.661586344242096	346527	-0.04261646419763565
6077	5	2.072873115539551	188809	-0.5021281242370605
6079	5	1.2240349054336548	101599	-0.13445132970809937
6081	5	0.661586344242096	253458	-0.09694713354110718
6083	5	0.8891544938087463	142911	-0.17239995300769806
6085	5	0.7603265643119812	584772	-0.1684277057647705
6087	5	1.1887423992156982	104213	-0.20699487626552585
6089	5	1.8249019384384155	70517	-0.17908614873886108
6095	5	1.1440908908843994	137557	-0.6259549260139465
6097	5	1.0017296075820925	183130	-0.2138160914182663
6099	5	2.1665163040161133	151947	-0.50208580493927
6101	5	2.6539721488952637	28078	-0.2963733375072479
6107	5	1.9665818214416504	118289	-0.2688520848751068
6111	5	0.7495062947273254	253516	-0.21912653744220736
6115	5	2.6539721488952637	22339	-0.43407678604125977
8001	6	1.5290610790252686	132174	-0.08101920038461685
8005	6	1.5290610790252686	174925	-0.03360255807638168
8013	6	1.2232325077056885	112024	-0.00632953597232699
8014	6	1.5290610790252686	17126	-0.01741629466414451
8031	6	1.5290610790252686	253205	-0.02365573868155479
8035	6	1.5290610790252686	64324	-0.04291580617427826
8039	6	1.5290610790252686	5107	-0.03823589906096458
8041	6	1.6681644916534424	203257	-0.03803959861397743
8059	6	1.5290610790252686	230831	-0.02133790776133537
8069	6	1.7872449159622192	105569	-0.0161050483584404
8077	6	2.127995252609253	48463	-0.01817352324724197
8093	6	1.5290610790252686	10077	-0.14174184203147888
8119	6	1.6681644916534424	10637	0.00733575038611888
8123	6	2.521466016769409	63580	-0.05406136810779571
9003	7	1.4960838556289673	353430	-0.04022018983960152
9007	7	1.4960838556289673	66686	-0.05005666241049766
9009	7	0.9750815629959106	340732	-0.08605146408081055
9011	7	1.464901089668274	111408	-0.05982466042041778
9013	7	1.4960838556289673	51419	-0.03813347220420837
10001	9	2.1819159984588623	48182	-0.03031939640641212
10003	9	1.9911681413650513	198686	-0.05154880136251449
11001	8	1.6058274507522583	273395	-0.01106804609298706
12001	10	2.478489637374878	100257	-0.0675952211022377
12009	10	1.037470817565918	222273	-0.17397257685661316
12011	10	0.6535772085189819	741043	-0.25374650955200195
12019	10	1.0591615438461304	52763	-0.13056840002536774
12021	10	1.210363268852234	143054	-0.11743728816509248
12031	10	1.0591615438461304	330334	-0.1125609427690506
12033	10	1.4766288995742798	121958	-0.09059849381446838
12053	10	0.9978693723678588	60360	-0.1756896674633026
12057	10	0.9978693723678588	431549	-0.17351172864437103
12069	10	1.1201637983322144	111455	-0.16578872501850128
12071	10	1.2812364101409912	246731	-0.1952117085456848
12083	10	1.734239935874939	120106	-0.13525740802288055
12085	10	1.1887226104736328	69148	-0.10392632335424425
12086	10	0.5952661037445068	852348	-0.21764665842056272
12089	10	1.0591615438461304	25860	-0.08202419430017471
12095	10	1.1201637983322144	375250	-0.23962990939617157
12097	10	1.1201637983322144	71189	-0.43339598178863525
12099	10	0.8282846808433533	559470	-0.10304468125104904
12101	10	0.9978693723678588	170266	-0.21529382467269895
12103	10	0.9978693723678588	481573	-0.16008806228637695
12105	10	1.5634709596633911	227229	-0.1886526495218277
12109	10	1.0591615438461304	58036	-0.09190400689840315
12111	10	1.1887226104736328	84127	-0.30302974581718445
